Alcohol and Cocaine Period										
No.	Name	Year	Word	Audible	Genres/Keywords	Movies	Read	Heard	Want	Comments
			Count							
104	Insomnia	1994	238,334	25:39:00	novel horror fantasy multiverse			1		Mind powers and Alternate realities. Boring description: A man can't sleep
105	Rose Madder	1995	173,477	17:22	novel fantasy thriller	in development				Alternate realities. Boring description: Woman decides to end her marriage
106	The Green Mile	1996	130,364	13:53	novel dark-fantasy southern-gothic magic-realism	1999 (seen 3 times)		1		Mind powers. Originally published as 6 books, one book per chapter. Boring description: Black man experiences racism in the Deep South
107	Desperation	1996	191,846	21:15	novel horror	2006 (seen 1 time)		1		Parallel universe with The Regulators. Published at the same time as twinner novel of The Regulators. Boring description: Some people get arrested then encounter local wildlife and a kid finds religion
108	The Regulators (Bachman)	1996	116,012	12:11	novel scifi horror mystical-powers	in development (want)		1		Parallel universe with Desperation. Published at the same time as twinner novel of Desperation. Boring description: Autistic boy watches Westerns
109	The Dark Tower: Wizard and Glass	1997	254,432	27:35:00	novel scifi horror fantasy western gunslinger	2020-2020 (Wizard and Glass) (tv series)		1		Part IV. Alternate worlds
110	Bag of Bones	1998	200,340	21:22	novel gothic horror psychic-powers ghosts	2011 (seen 1 time)		1		Psychic connection. Boring description: (please suggest)
111	The Girl Who Loved Tom Gordon	1999	61,413	6:29	novel horror hallucination supernatural	in development (want)	1	1		Supernatural or hallucinations. I read the pop-up book 1 time. Boring description: Girl takes walk in woods
112	Blind Willie	1999	16,858		short-story horror			1		Collection: Hearts in Atlantis. Boring description: (please suggest)
113	Hearts in Atlantis	1999	55,568		novella horror			1		Collection: Hearts in Atlantis. Boring description: (please suggest)
114	Heavenly Shades of Night Are Falling	1999	5,037		short-story horror			1		Collection: Hearts in Atlantis. Boring description: (please suggest)
115	Low Men in Yellow Coats	1999	89,400		novella horror	2001 (Hearts in Atlantis) (seen 1 time)		1		Collection: Hearts in Atlantis. Boring description: (please suggest)
116	Why We're in Vietnam	1999	17,034		novella horror			1		Collection: Hearts in Atlantis. Boring description: (please suggest)
Post Hit-By-Van Period										
No.	Name	Year	Word	Audible	Genres/Keywords	Movies	Read	Heard	Want	Comments
			Count							
117	Dreamcatcher	2001	216,342	22:47	novel scifi body horror suspense alien-invasion	2003 (seen 1 time)		1		Mind powers and aliens. Boring description: Hunting trip ruined by bowel problems
118	Black House	2001	244,182		novel horror cannibalism dark-tower					Alternate worlds (Dark Tower). Sequel to The Talisman. Boring description: (please suggest)
119	From A Buick 8	2002	123,912	13:21	novel horror supernatural-car	in development		1		Alternate world. Mystery car never moves. Car is portal to another world deadly to us. Things come of trunk but soon die. Switches between different characters and Now and Then. Boring description: Like Christine but never moves.
120	1408	2002	14,742		short-story horror	2007 (seen 1 time)		2		Collection: Everything's Eventual. Boring description: Man stays in hotel
121	All That You Love Will Be Carried Away	2002	5,770		short-story horror	2010		2		Collection: Everything's Eventual. Boring description: (please suggest)
122	Autopsy Room Four	2002	8,883		short-story horror	2003		1		Collection: Everything's Eventual. Boring description: (please suggest)
						2006				
123	Everything's Eventual	2002	19,552		novella fantasy			2		Collection: Everything's Eventual. Mental powers. Boring description: (please suggest)
124	In the Deathroom	2002	9,925		short-story horror	2009		1		Collection: Everything's Eventual. Boring description: (please suggest)
125	L.T.'s Theory of Pets	2002	9,154		short-story horror			1		Collection: Everything's Eventual. Boring description: (please suggest)
126	Luckey Quarter	2002	4,253		short-story horror	2005		1		Collection: Everything's Eventual. Boring description: (please suggest)
127	Lunch at the Gotham Café	2002	13,115		short-story horror	2005		1		Collection: Everything's Eventual. Boring description: (please suggest)
128	Riding the Bullet	2002	16,082		novella horror	2004		1		Collection: Everything's Eventual. Boring description: (please suggest)
129	That Feeling, You Can Only Say What It Is in French	2002	6,457		short-story horror	2011		1		Collection: Everything's Eventual. Boring description: French waiter gets angry
130	The Death of Jack Hamilton	2002	11,773		short-story horror	2015		1		Collection: Everything's Eventual. Boring description: (please suggest)
131	The Little Sisters of Eluria	2002	23,571		novella fantasy	in development		1		Collection: Everything's Eventual. Part of The Dark Tower. Boring description: (please suggest)
132	The Man in the Black Suit	2002	10,376		short-story horror	2004		1		Collection: Everything's Eventual. Boring description: (please suggest)
						2014 (seen 1 time) (YouTube)				
133	The Road Virus Heads North	2002	9,244		short-story horror	2004 2006		1		Collection: Everything's Eventual. Boring description: (please suggest)
134	The Dark Tower: Wolves of the Calla	2003	241,435	26:20:00	novel scifi horror fantasy western gunslinger			1		Part V. Alternate worlds. Has the most occurrences of the word "twins" with 59 instances. Boring description: (please suggest)
135	The Dark Tower: Song of Susannah	2004	126,253	14:09	novel scifi horror fantasy			1		Part VI. Alternate worlds. Boring description: (please suggest)
136	The Dark Tower	2004	272,350	28:50:00	novel scifi horror fantasy			1		Part VII. Alternate worlds. Boring description: (please suggest)
137	The Colorado Kid	2005	33,859	3:38	novel mystery crime	2010-2015 (Haven)		2		Based on the real world. Boring description: Two old farts don't explain a puzzling death
138	Cell	2006	121,706	12:36	novel scifi horror zombie telepath telekinesis	2016 (seen 1 time)		3		Mind powers. The only King novel to have the words "Kashwak-No-Fo". Boring description: Phones are bad for you
139	Lisey's Story	2006	183,659	18:52	novel gothic horror	2021 (tv mini-series)		1		Alternate world. Has the word "bool" 151 times and is the only King novel with the word smucking (87 times). Boring description: (please suggest)
140	Blaze (Bachman)	2007	72,264	8:13	novel crime ghost			1		Supernatural. Boring description: (please suggest)
141	Duma Key	2008	204,382	21:00	novel psychological horror	in development (want)		3		Supernatural. Has the second most occurrences of the word "twins" with 43 instances behind Wolves of the Calla with 59. Has the most NASA talk of any King book. "Houston, this is Freemantle, do you copy, Houston?" Boring description: Guy paints pictures at the beach
142	A Very Tight Place	2008	20,358		novella horror	2012 2019		1		Collection: Just After Sunset. Boring description: Man gets stuck inside Port-O-Potty
143	Ayana	2008	6,235		short-story horror	2013		1		Collection: Just After Sunset. Boring description: Man heals people
144	Graduation Afternoon	2008	2,406		short-story horror	2013 2015 2019 2020		1		Collection: Just After Sunset. Boring description: (please suggest)
145	Harvey's Dream	2008	3,936		short-story horror	2011 2015 2016		1		Collection: Just After Sunset. Boring description: A Man's bad dream comes true
146	Mute	2008	8,245		short-story horror	2012		1		Collection: Just After Sunset. Boring description: (please suggest)
147	N.	2008	20,176		novella horror	2008 (seen 1 time) (YouTube)		1		Collection: Just After Sunset. Boring description: (please suggest)
148	Rest Stop	2008	6,412		short-story horror	2018		1		Collection: Just After Sunset. Boring description: (please suggest)
						in development				
149	Stationary Bike	2008	13,124		short-story horror			1		Collection: Just After Sunset. Boring description: (please suggest)
